 Sample_ID,Age,1σ,Isotopic ratios,,,,,,,,,,,,,
,,,176Hf/177Hf,1σ,176Lu/177Hf,1σ,176Yb/177Hf,1σ,εHf(0),1σ,εHf(t),1σ,TDM1,TDM2,fLu/Hf,
SZ14-4-02,218 ,3 ,0.28251 ,0.00001 ,0.00032 ,0.00000 ,0.00830 ,0.00009 ,-9.15 ,0.66 ,-4.36 ,0.67 ,1026.28 ,1364.96 ,-0.99 ,
SZ14-4-03,215 ,2 ,0.28247 ,0.00001 ,0.00089 ,0.00002 ,0.02163 ,0.00058 ,-10.53 ,0.65 ,-5.96 ,0.66 ,1096.32 ,1448.35 ,-0.97 ,
SZ14-4-04,213 ,2 ,0.28251 ,0.00001 ,0.00098 ,0.00002 ,0.02450 ,0.00044 ,-9.40 ,0.65 ,-4.89 ,0.66 ,1054.17 ,1387.54 ,-0.97 ,
SZ14-4-06,219 ,2 ,0.28251 ,0.00001 ,0.00088 ,0.00002 ,0.02193 ,0.00053 ,-9.33 ,0.65 ,-4.70 ,0.66 ,1048.71 ,1380.90 ,-0.97 ,
SZ14-4-07,213 ,2 ,0.28250 ,0.00001 ,0.00100 ,0.00002 ,0.02591 ,0.00056 ,-9.46 ,0.62 ,-4.79 ,0.64 ,1057.25 ,1388.02 ,-0.97 ,
SZ14-4-08,201 ,2 ,0.28251 ,0.00001 ,0.00111 ,0.00002 ,0.02700 ,0.00052 ,-9.27 ,0.68 ,-5.03 ,0.69 ,1052.63 ,1385.99 ,-0.97 ,
SZ14-4-09,208 ,2 ,0.28250 ,0.00001 ,0.00068 ,0.00001 ,0.01724 ,0.00023 ,-9.61 ,0.62 ,-5.04 ,0.63 ,1054.43 ,1396.82 ,-0.98 ,
SZ14-4-10,211 ,2 ,0.28250 ,0.00001 ,0.00088 ,0.00001 ,0.02243 ,0.00025 ,-9.46 ,0.64 ,-4.91 ,0.65 ,1053.75 ,1389.75 ,-0.97 ,
SZ14-4-11,210 ,2 ,0.28255 ,0.00001 ,0.00078 ,0.00004 ,0.01832 ,0.00086 ,-7.98 ,0.70 ,-3.49 ,0.71 ,992.64 ,1308.46 ,-0.98 ,
XX14-15-01,184 ,2 ,0.28288 ,0.00001 ,0.00111 ,0.00001 ,0.03048 ,0.00027 ,3.73 ,0.64 ,7.62 ,0.66 ,532.40 ,668.95 ,-0.97 ,
XX14-15-02,274 ,3 ,0.28281 ,0.00001 ,0.00190 ,0.00008 ,0.05356 ,0.00236 ,1.50 ,0.70 ,7.17 ,0.72 ,635.50 ,766.25 ,-0.94 ,
XX14-15-03,238 ,2 ,0.28293 ,0.00001 ,0.00089 ,0.00001 ,0.02666 ,0.00012 ,5.57 ,0.67 ,10.70 ,0.69 ,455.66 ,541.82 ,-0.97 ,
XX14-15-04,280 ,3 ,0.28236 ,0.00001 ,0.00113 ,0.00002 ,0.02910 ,0.00048 ,-14.50 ,0.66 ,-8.64 ,0.68 ,1261.15 ,1645.28 ,-0.97 ,
XX14-15-05,271 ,3 ,0.28265 ,0.00001 ,0.00032 ,0.00000 ,0.00824 ,0.00009 ,-4.42 ,0.64 ,1.87 ,0.66 ,841.60 ,1073.79 ,-0.99 ,
XX14-15-06,258 ,3 ,0.28251 ,0.00001 ,0.00043 ,0.00001 ,0.00994 ,0.00027 ,-9.42 ,0.63 ,-3.86 ,0.65 ,1040.10 ,1365.91 ,-0.99 ,
XX14-15-07,181 ,2 ,0.28283 ,0.00001 ,0.00160 ,0.00001 ,0.03839 ,0.00033 ,1.99 ,0.67 ,5.71 ,0.68 ,610.31 ,771.50 ,-0.95 ,
XX14-15-08,317 ,3 ,0.28229 ,0.00001 ,0.00270 ,0.00001 ,0.07562 ,0.00072 ,-17.16 ,0.68 ,-10.82 ,0.70 ,1426.06 ,1794.73 ,-0.92 ,
XX14-15-09,180 ,2 ,0.28292 ,0.00002 ,0.00136 ,0.00002 ,0.03626 ,0.00079 ,5.12 ,0.75 ,8.82 ,0.76 ,479.92 ,595.97 ,-0.96 ,
XX14-15-10,263 ,3 ,0.28279 ,0.00001 ,0.00128 ,0.00002 ,0.03226 ,0.00045 ,0.63 ,0.68 ,6.19 ,0.69 ,660.16 ,812.70 ,-0.96 ,
XX14-15-11,294 ,4 ,0.28286 ,0.00001 ,0.00081 ,0.00001 ,0.02073 ,0.00051 ,3.18 ,0.70 ,9.49 ,0.71 ,550.26 ,653.21 ,-0.98 ,
